Date,Close,Open,High,Low,Volume,Change%
2020-04-17,208.94,206.11,209.49,205.0,33490,1.44
2020-04-16,205.97,205.46,206.39,203.04,19320,0.25
2020-04-15,205.46,202.86,206.33,202.01,28170,1.28
2020-04-14,202.86,202.37,203.66,198.97,27990,0.24
2020-04-13,202.37,200.17,203.8,197.83,22160,1.07
2020-04-10,200.22,198.35,202.19,193.2,31670,1.18
2020-04-09,197.88,195.8,199.3,193.46,30890,2.35
2020-04-08,193.34,189.9,194.0,187.52,25050,0.85
2020-04-07,191.71,191.39,192.68,188.45,38340,0.77
2020-04-06,190.24,179.87,190.27,179.87,38430,5.96
2020-04-03,179.54,173.42,179.55,173.42,26180,3.16
2020-04-01,174.04,166.41,174.12,164.31,20680,3.66
2020-03-31,167.89,167.44,172.13,165.53,30030,-0.61
2020-03-30,168.92,175.23,175.23,167.67,24740,-3.78
2020-03-27,175.56,176.6,177.34,173.85,24680,-0.67
2020-03-26,176.74,181.19,181.85,176.65,25850,-2.52
2020-03-25,181.3,175.42,181.33,175.28,26810,3.61
2020-03-24,174.98,174.81,175.85,173.53,36540,0.1
2020-03-23,174.81,182.77,182.82,173.77,49730,-5.29
2020-03-20,184.57,183.09,187.89,181.91,31190,0.96
2020-03-19,182.81,184.7,185.12,180.3,56050,-0.95
2020-03-18,184.56,182.98,186.32,181.98,48270,0.93
2020-03-17,182.86,180.32,183.15,174.43,30160,1.47
2020-03-16,180.21,181.66,182.62,178.25,24480,-0.74
2020-03-13,181.55,181.81,182.38,171.74,58700,0.11
2020-03-12,181.35,188.9,188.9,178.76,50070,-3.94
2020-03-11,188.78,190.21,194.63,183.17,54610,-0.75
2020-03-10,190.21,190.77,195.28,185.77,41710,-1.69
2020-03-09,193.47,208.71,208.71,192.25,37650,-7.36
2020-03-06,208.83,210.71,210.71,206.88,34120,-0.9
2020-03-05,210.72,207.02,214.05,207.0,87530,1.84
2020-03-04,206.92,203.32,206.92,201.14,65379,1.82
2020-03-03,203.23,199.65,205.54,198.55,58960,2.37
2020-03-02,198.53,194.19,198.75,192.23,67200,2.23
2020-02-28,194.19,189.25,194.24,186.35,49090,1.48
2020-02-27,191.35,185.52,191.35,183.94,29020,2.88
2020-02-26,185.99,184.46,186.72,181.77,39660,0.83
2020-02-25,184.46,179.69,184.65,178.08,31500,2.34
2020-02-24,180.25,187.1,187.21,180.21,45730,-3.78
2020-02-21,187.33,189.69,190.41,186.62,17270,-1.24
2020-02-20,189.69,190.01,192.47,189.0,22440,-0.17
2020-02-19,190.02,191.51,191.54,189.43,17880,-0.78
